t1,t2,d,k,approximation,fpt,approximation_time,fpt_time
"[13, 14, 3, 9, None, 18, 18, 14, 7, 0, 8, 8, 7, 7, 17, 9, 19, 4, 17, 12]","[13, 14, 11, 18, None, 8, 18, 14, 7, 0, 8, 9, 7, 7, 17, 9, 14, 4, 17, 12]",4,4,13,3,0.00030922796577215195,1.0161497248336673
"[7, None, 4, 14, 16, 8, 7, 4, 9, 7, 17, 1, 0, 5, 1, 8, 1, 5, 1, 13]","[7, None, 4, 0, 16, 6, 15, 4, 10, 6, 17, 1, 14, 5, 1, 7, 1, 5, 1, 13]",4,4,9,4,0.00031208409927785397,251.14900361793116
"[11, 3, 0, 16, 9, 13, 10, 0, 6, 12, 5, None, 7, 11, 1, 5, 0, 10, 2, 15]","[11, 3, 0, 16, 17, 13, 10, 0, 6, 7, 5, None, 2, 11, 1, 4, 0, 9, 10, 15]",4,4,9,4,0.0003293049521744251,252.59650260885246
"[11, 19, 7, 5, 18, 13, 14, 9, 7, 14, 16, 13, 9, 7, None, 17, 6, 4, 8, 12]","[11, 19, 7, 5, 18, 11, 14, 9, 7, 14, 19, 16, 9, 7, None, 17, 6, 4, 8, 12]",4,4,8,3,0.00034695910289883614,0.99925945000723
"[19, 18, 14, 17, 3, 7, 1, 6, 17, 15, 9, 3, 7, 11, 7, 7, 15, 6, None, 15]","[15, 18, 14, 5, 3, 9, 3, 11, 5, 15, 9, 1, 7, 6, 7, 7, 15, 7, None, 0]",4,4,17,4,0.0002924471627920866,250.96626646490768
"[2, None, 1, 19, 1, 19, 2, 18, 1, 13, 19, 7, 16, 7, 6, 14, 6, 7, 14, 9]","[1, 9, 3, None, 3, 1, 2, 18, 3, 13, 2, 7, 16, 11, 6, 14, 6, 7, 14, 1]",4,4,14,4,0.00030533107928931713,251.41380491713062
"[2, 6, 14, 17, 6, 10, 18, 16, 13, 17, 19, 6, 19, 5, 12, 1, 4, 19, 8, None]","[10, 14, 6, 17, 17, 1, 18, 16, 13, 17, 19, 6, 19, 0, 12, 18, 4, 19, 8, None]",4,4,15,4,0.00031773396767675877,250.13226106902584
"[5, 3, 17, 11, 19, 14, 14, 2, None, 17, 15, 2, 11, 18, 12, 19, 11, 8, 2, 3]","[5, 3, 7, 11, 17, 14, 14, None, 11, 2, 15, 17, 11, 18, 12, 19, 19, 2, 17, 3]",4,4,12,4,0.00031206407584249973,8237.695003550965
"[2, 16, 17, 14, 18, 19, 1, 3, 3, 19, 19, 12, 7, 10, 16, 5, 0, None, 9, 1]","[2, 16, 17, 14, 18, 19, 1, 3, 18, 19, 19, 12, 7, 10, 1, 5, 0, None, 12, 1]",4,4,8,3,0.00033242208883166313,0.989337980048731
"[4, None, 1, 16, 15, 1, 12, 11, 11, 17, 18, 3, 10, 19, 19, 3, 5, 7, 2, 10]","[4, None, 1, 16, 15, 1, 12, 11, 11, 17, 14, 3, 4, 19, 11, 3, 5, 7, 4, 10]",4,4,8,4,0.0003479910083115101,248.83930977084674
"[1, 2, 13, 12, 10, 1, 8, 10, 7, 7, None, 4, 2, 9, 7, 11, 0, 13, 0, 6]","[1, 2, 17, 12, 10, 1, 8, 10, 7, 7, None, 4, 2, 17, 7, 10, 5, 9, 5, 6]",4,4,6,3,0.0003148079849779606,1.0049123070202768
"[2, 17, 15, 6, 13, 14, 12, 16, 3, 16, 19, 0, None, 3, 11, 8, 15, 15, 12, 16]","[2, 17, 15, 6, 18, 14, 12, 16, 3, 16, 2, 0, None, 16, 11, 8, 15, 15, 17, 16]",4,4,10,4,0.00033689988777041435,250.63454744708724
"[15, 12, 17, 6, 11, 18, 13, 18, 10, 1, 6, 9, 17, None, 13, 19, 15, 14, 19, 1]","[15, 11, 17, 6, 9, 18, 13, 5, 10, 1, 6, 17, 7, None, 13, 19, 15, 14, 19, 1]",4,4,11,4,0.0003470189403742552,252.26502494281158
"[11, 12, 16, 10, 18, 15, 9, 15, 9, 18, 18, 12, None, 14, 17, 12, 10, 19, 19, 15]","[19, 12, 16, 10, 0, 15, 2, 15, 9, 0, 0, 12, None, 14, 17, 12, 10, 2, 11, 15]",4,4,11,3,0.0003037478309124708,1.001648130826652
"[5, 14, 4, 2, 16, 3, 2, 17, 10, 11, 13, 14, 3, 5, None, 0, 1, 3, 15, 8]","[17, 14, 4, 2, 16, 3, 2, 5, 10, 11, 13, 14, 3, 5, None, 1, 1, 3, 15, 8]",4,4,8,2,0.0003562960773706436,0.001789524918422103
"[13, 16, 7, 16, 8, 16, 15, 10, None, 14, 0, 4, 15, 1, 8, 9, 4, 14, 2, 18]","[13, 9, 6, 16, 8, 3, 10, 15, None, 14, 0, 4, 15, 1, 8, 9, 4, 5, 2, 18]",4,4,14,4,0.00034221913665533066,252.36096685519442
"[17, None, 5, 12, 1, 19, 3, 18, 7, 4, 3, 18, 4, 7, 9, 2, 15, 16, 19, 10]","[19, None, 7, 18, 1, 0, 3, 19, 5, 4, 3, 0, 17, 5, 17, 2, 15, 16, 4, 10]",4,4,15,4,0.0003102901391685009,253.28877891600132
"[9, 6, 7, 15, 10, 10, 0, 10, 16, 19, 16, 1, 3, 16, 8, 2, None, 14, 6, 14]","[9, 6, 7, 15, 10, 10, 0, 5, 4, 19, 16, 1, 3, 16, 8, 2, None, 15, 6, 14]",4,4,10,3,0.0003407769836485386,1.020702744135633
"[18, None, 19, 9, 1, 10, 5, 18, 2, 1, 18, 12, 5, 0, 0, 8, 13, 2, 3, 18]","[18, None, 19, 9, 1, 10, 12, 18, 2, 1, 18, 13, 0, 2, 0, 8, 4, 2, 3, 18]",4,4,8,4,0.0003248280845582485,252.14535791799426
"[14, 0, 1, 1, 5, 14, 9, 18, 18, 12, 9, 4, 14, 16, 7, 17, 9, None, 15, 14]","[4, 0, 1, 1, None, 14, 5, 18, 18, 12, 9, 6, 14, 16, 7, 4, 9, 5, 15, 14]",4,4,10,4,0.00030922796577215195,251.09251283295453
"[6, 11, 8, 6, 11, 1, 1, 8, 13, 14, 5, 19, 9, 15, 16, 9, None, 8, 1, 9]","[16, 11, 8, 16, 11, 1, None, 8, 12, 14, 5, 19, 19, 8, 6, 9, 1, 9, 1, 9]",4,4,13,4,0.0002964551094919443,252.8146939999424
